Month,L,M,S
0,-0.0631,13.3363,0.09272
1,0.3448,14.5679,0.09556
2,0.1749,15.7679,0.09371
3,0.0643,16.3574,0.09254
4,-0.0191,16.6703,0.09166
5,-0.0864,16.8386,0.09096
6,-0.1429,16.9083,0.09036
7,-0.1916,16.902,0.08984
8,-0.2344,16.8404,0.08939
9,-0.2725,16.7406,0.08898
10,-0.3068,16.6184,0.08861
11,-0.3381,16.4875,0.08828
12,-0.3667,16.3568,0.08797
13,-0.3932,16.2311,0.08768
14,-0.4177,16.1128,0.08741
15,-0.4407,16.0028,0.08716
16,-0.4623,15.9017,0.08693
17,-0.4825,15.8096,0.08671
18,-0.5017,15.7263,0.0865
19,-0.5199,15.6517,0.0863
20,-0.5372,15.5855,0.08612
21,-0.5537,15.5278,0.08594
22,-0.5695,15.4787,0.08577
23,-0.5846,15.438,0.0856
24,-0.5989,15.4052,0.08545
